transaction_id,sender_id,receiver_id,amount,timestamp,description
TXN-SAMPLE-001,ACC-001,ACC-002,500.00,2025-03-15T10:30:00Z,Freelance payment
TXN-SAMPLE-002,ACC-005,ACC-001,1200.00,2025-03-16T14:00:00Z,Invoice settlement
TXN-SAMPLE-003,ACC-002,ACC-007,800.00,2025-03-18T09:15:00Z,Service fee
TXN-SAMPLE-004,ACC-009,ACC-005,250.00,2025-03-20T11:45:00Z,Reimbursement
TXN-SAMPLE-005,ACC-003,ACC-006,15000.00,2025-04-01T02:10:00Z,Bulk transfer
TXN-SAMPLE-006,ACC-006,ACC-008,14500.00,2025-04-01T02:25:00Z,Forwarded funds
TXN-SAMPLE-007,ACC-008,ACC-010,14000.00,2025-04-01T02:40:00Z,Chain transfer
TXN-SAMPLE-008,ACC-010,ACC-003,12000.00,2025-04-02T03:00:00Z,Return payment
TXN-SAMPLE-009,ACC-004,ACC-006,9800.00,2025-04-05T08:00:00Z,Payment A
TXN-SAMPLE-010,ACC-004,ACC-006,9700.00,2025-04-05T08:30:00Z,Payment B
